"filename", "language", "Moonbit", "comment", "blank", "total"
"/home/blankheart0/Interpreter/MBCI/main/AST.mbt", "Moonbit", 2, 3, 2, 7
"/home/blankheart0/Interpreter/MBCI/main/ErrorHandler.mbt", "Moonbit", 4, 0, 2, 6
"/home/blankheart0/Interpreter/MBCI/main/Excuter.mbt", "Moonbit", 86, 3, 30, 119
"/home/blankheart0/Interpreter/MBCI/main/Interpreter.mbt", "Moonbit", 1, 0, -1, 0
"/home/blankheart0/Interpreter/MBCI/main/Parser.mbt", "Moonbit", 1, 2, 3, 6
"/home/blankheart0/Interpreter/MBCI/test/expression.mbt", "Moonbit", 6, 0, 0, 6
"Total", "-", 100, 8, 36, 144
